psraid,cregion,q1,q2,q45,sex,recage,receduc,racethn2,party,partyln,weight,llweight,cellweight
100005,Northeast,Disapprove,Very strongly,Disapprove,Male,55-64,HS grad or less,White~Hisp,Republican,NA,4.62962963,12.1,0
100007,South,Approve,Very strongly,Approve,Female,55-64,Coll+,White~Hisp,Democrat,NA,1.222222222,3.1,0
100019,South,Approve,Very strongly,Approve,Female,55-64,Some coll/Assoc degree,Black~Hisp,Democrat,NA,1.333333333,2.8,0
100020,Midwest,Approve,Not so strongly,Approve,Female,65+,Some coll/Assoc degree,White~Hisp,Don't know/Refused (VOL.),Other/Don't know/Refused (VOL.),1.037037037,1.2,0
100021,Northeast,Approve,Very strongly,Approve,Female,65+,HS grad or less,Black~Hisp,Democrat,NA,2.814814815,5,0
100023,Midwest,Don't know/Refused (VOL.),NA,Disapprove,Male,45-54,HS grad or less,White~Hisp,No preference (VOL.),Other/Don't know/Refused (VOL.),2.222222222,8.9,0
100027,Northeast,Approve,Very strongly,Approve,Female,65+,Some coll/Assoc degree,White~Hisp,Independent,Democrat,1.074074074,2.4,0
100031,South,Disapprove,Very strongly,Disapprove,Female,55-64,Coll+,White~Hisp,No preference (VOL.),Other/Don't know/Refused (VOL.),1.222222222,2.4,0
100034,Midwest,Disapprove,Very strongly,Disapprove,Female,55-64,Some coll/Assoc degree,White~Hisp,Independent,Republican,1.962962963,3.5,0
100037,South,Disapprove,Very strongly,Disapprove,Male,35-44,Coll+,White~Hisp,Independent,Republican,1.592592593,9.1,0
100040,South,Approve,Don't know/Refused (VOL.),Don't know/Refused (VOL.),Female,55-64,Coll+,"Hisp, born in US",Independent,Other/Don't know/Refused (VOL.),2.555555556,7.5,0
100041,Midwest,Don't know/Refused (VOL.),NA,Don't know/Refused (VOL.),Male,65+,HS grad or less,White~Hisp,Independent,Democrat,1.851851852,2.8,0
100043,Midwest,Don't know/Refused (VOL.),NA,Approve,Female,DK/Ref,HS grad or less,White~Hisp,Don't know/Refused (VOL.),Democrat,1.851851852,2.8,0
100049,Midwest,Disapprove,Very strongly,Disapprove,Male,45-54,HS grad or less,White~Hisp,Independent,Democrat,2.888888889,9.5,0
100055,South,Disapprove,Not so strongly,Disapprove,Female,65+,Some coll/Assoc degree,White~Hisp,Republican,NA,1,1,0
100060,South,Disapprove,Not so strongly,Disapprove,Female,55-64,HS grad or less,White~Hisp,Independent,Republican,3.407407407,7.6,0
100063,Midwest,Disapprove,Not so strongly,Disapprove,Male,55-64,Some coll/Assoc degree,White~Hisp,Independent,Republican,2,4.5,0
100087,Northeast,Disapprove,Very strongly,Disapprove,Male,35-44,HS grad or less,White~Hisp,Independent,Republican,6.407407407,10.5,0
100093,Midwest,Approve,Very strongly,Approve,Female,25-34,HS grad or less,White~Hisp,Democrat,NA,5.592592593,27.3,0
100101,Midwest,Don't know/Refused (VOL.),NA,Don't know/Refused (VOL.),Female,55-64,HS grad or less,White~Hisp,Democrat,NA,2.888888889,5.8,0
100107,Midwest,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Republican,NA,1.407407407,2.4,0
100111,Midwest,Disapprove,Not so strongly,Approve,Female,65+,Coll+,White~Hisp,Democrat,NA,1,1,0
100113,South,Disapprove,Very strongly,Don't know/Refused (VOL.),Female,65+,Coll+,White~Hisp,Republican,NA,1,2.4,0
100114,Northeast,Approve,Not so strongly,Approve,Female,25-34,Coll+,White~Hisp,Democrat,NA,5.777777778,27.3,0
100115,Northeast,Disapprove,Very strongly,Disapprove,Female,65+,HS grad or less,White~Hisp,Independent,Democrat,3.555555556,7.1,0
